sh;site;zone1;zone2;site_name1;site_name2;latitude;longitude;sst_lat;sst_lon;tidestation;albedo;height;slope;aspect;slope.avg;aspect.avg;layer;c.albedo;beddepth;cntct;emiss
To;Tourinan;high_shade;_TopShade;Tourinan_high_shade;Tourinan_TopShade;43,0429;-9,29;43,0429;-9,35;Cabo Corrubedo, Spain;0,4;2,5;20;332;20;332;;;;;
To;Tourinan;mid_sun;_MidSun;Tourinan_mid_sun;Tourinan_MidSun;43,0429;-9,29;43,0429;-9,35;Cabo Corrubedo, Spain;0,4;1,5;35;122;35;122;;;;;
To;Tourinan;mid_shade;_MidShade;Tourinan_mid_shade;Tourinan_MidShade;43,0429;-9,29;43,0429;-9,35;Cabo Corrubedo, Spain;0,4;1,5;7;357;7;357;;;;;
To;Tourinan;low_sun;_LowSun;Tourinan_low_sun;Tourinan_LowSun;43,0429;-9,29;43,0429;-9,35;Cabo Corrubedo, Spain;0,4;0,5;65;158;65;158;;;;;
To;Tourinan;low_shade;_LowShade;Tourinan_low_shade;Tourinan_LowShade;43,0429;-9,29;43,0429;-9,35;Cabo Corrubedo, Spain;0,4;0,5;13;15;13;15;;;;;
Lc;LaCaridad;high_sun;_TopSun;LaCaridad_high_sun;LaCaridad_TopSun;43,5654;-6,8281;43,65;-6,8281;Ribadeo, Spain;0,4;2,5;32;210;32;210;;;;;
Lc;LaCaridad;high_shade;_TopShade;LaCaridad_high_shade;LaCaridad_TopShade;43,5654;-6,8281;43,65;-6,8281;Ribadeo, Spain;0,4;2,5;-15;27;-15;27;;;;;
Lc;LaCaridad;mid_sun;_MidSun;LaCaridad_mid_sun;LaCaridad_MidSun;43,5654;-6,8281;43,65;-6,8281;Ribadeo, Spain;0,4;1,5;15;215;15;215;;;;;
Lc;LaCaridad;mid_shade;_MidShade;LaCaridad_mid_shade;LaCaridad_MidShade;43,5654;-6,8281;43,65;-6,8281;Ribadeo, Spain;0,4;1,5;-5;33;-5;33;;;;;
Lc;LaCaridad;low_sun;_LowSun;LaCaridad_low_sun;LaCaridad_LowSun;43,5654;-6,8281;43,65;-6,8281;Ribadeo, Spain;0,4;0,5;17;235;17;235;;;;;
